factor,level,method,lead_hour,n,rmse,mae
wind_regime,high_wind,GRU+RNN,1,83772,18.48098546189584,11.280860135380577
wind_regime,low_wind,GRU+RNN,6,83880,51.13004207592514,30.024544071984906
wind_regime,mid_wind,GRU+RNN,6,83808,43.48183045311975,27.173191050465107
wind_regime,high_wind,GRU+RNN,6,83952,36.71330227195992,22.569670059418755
wind_regime,low_wind,GRU+RNN,12,83880,59.27946130257109,34.84511784427667
wind_regime,mid_wind,GRU+RNN,12,83844,52.033846008549595,32.016068527930955
wind_regime,high_wind,GRU+RNN,12,83916,45.3293318314752,28.150083089812114
wind_regime,low_wind,GRU+RNN,24,83880,71.93001461958873,44.35864234655939
wind_regime,mid_wind,GRU+RNN,24,83988,64.21046400792098,41.11739284394695
wind_regime,high_wind,GRU+RNN,24,83772,65.39564319276978,42.58213911015877
wind_regime,low_wind,Graph WaveNet,1,84060,24.4629449925457,14.892263113519222
wind_regime,mid_wind,Graph WaveNet,1,83808,20.526272653260843,12.63357904700206
wind_regime,high_wind,Graph WaveNet,1,83772,18.915951996202622,11.663756977139734
wind_regime,low_wind,Graph WaveNet,6,83880,48.52031516164502,27.770318176968644
wind_regime,mid_wind,Graph WaveNet,6,83808,40.001477701558166,24.045159320063597
wind_regime,high_wind,Graph WaveNet,6,83952,33.62484827896196,19.602576884612006
wind_regime,low_wind,Graph WaveNet,12,83880,57.65902489139965,33.60979626661661
wind_regime,mid_wind,Graph WaveNet,12,83844,48.85758932607111,29.37030541210518
wind_regime,high_wind,Graph WaveNet,12,83916,41.64558655201891,24.323236188534995
wind_regime,low_wind,Graph WaveNet,24,83880,73.29996673996006,43.72703052943925
wind_regime,mid_wind,Graph WaveNet,24,83988,66.20157872231012,40.84837714168761
wind_regime,high_wind,Graph WaveNet,24,83772,64.89528610783238,41.20506118795868
wind_regime,low_wind,HERMES,1,84060,19.850322161775967,10.77137179888489
wind_regime,mid_wind,HERMES,1,83808,17.707580518567966,9.677916594610648
wind_regime,high_wind,HERMES,1,83772,15.269557119270278,8.383508420933149
wind_regime,low_wind,HERMES,6,83880,44.993330395160726,25.469871420967163
wind_regime,mid_wind,HERMES,6,83808,39.046105770849216,23.167180024539757
wind_regime,high_wind,HERMES,6,83952,32.4072453445123,18.423893134297643
wind_regime,low_wind,HERMES,12,83880,54.3348655124307,31.501131415631466
